Governor ID,exactName,Power,T4-Kills,T5-Kills,Dead Troops,Governor ID,exactName,Power,T4-Kills,T5-Kills,Dead Troops,Governor ID,exactName,Power,T4-Kills Gained,T5-Kills Gained,Dead Troops Gained
134363950,ʷʷᶜReport 1,25.967.124,1.127.592,122.816,464.187,133965103,Destructor,23.549.193,2.099.190,26.091,209.468,133965103,Destructor,23.549.193,1.745.705,353.996,209.175
134676342,VisionTune,25.960.446,1.438.280,4.823,63.574,133690139,ᴮᴴ KS7,23.539.421,7.825.234,40.928,804.259,133690139,ᴮᴴ KS7,23.539.421,2.464.925,148.129,236.043
134022474,Boss baby,25.952.227,3.463.345,200.712,1.004.396,133984562,ᴮᴴFernando,23.488.577,932.382,5.081,146.001,133984562,ᴮᴴFernando,23.488.577,Quit,,
134614201,MaBoy,25.913.996,2.376.378,245.219,642.784,134236379,亗HK亗,23.341.090,8.163.609,11.210,964.729,134236379,亗HK亗,23.341.090,4.152.619,255.944,494.377
134271592,AloNee,25.894.833,3.241.126,147.944,383.113,133814894,ᴮᴴRaiimana,23.319.527,2.672.162,17.924,187.228,133814894,ᴮᴴRaiimana,23.319.527,0,0,0
134598851,iAmZhao333,25.711.283,245.583,35.226,189.232,134337996,Linh hi,23.218.253,671.090,1.906,268.463,134337996,Linh hi,23.218.253,26.300,0,0
133690139,ᴮᴴ KS7,25.673.319,10.290.159,189.057,1.040.302,134082462,ЧайХона,23.067.011,2.174.983,5.370,119.165,134082462,ЧайХона,23.067.011,1.759.954,101.781,100.225
134390649,ᴮᴹParagon,25.622.061,10.990.358,496.248,887.472,134367349,ʷʷᶜQueen,23.014.226,5.130.118,24.072,821.344,134367349,ʷʷᶜQueen,23.014.226,4.559.719,392.437,496.501
134432925,DIØ 乂,25.572.778,3.502.566,128.098,666.969,134287896,ᴮᴴTylrend,22.990.184,2.360.783,0,125.177,134287896,ᴮᴴTylrend,22.990.184,non found,,
134187362,prime1102,25.570.603,237.069,0,103.417,133820612,ᴮᴹTiger,22.983.818,381.988,0,520.537,133820612,ᴮᴹTiger,22.983.818,non found,,
134221068,Electroknight,25.507.574,382.762,49.724,354.218,133915714,M O J O m a n,22.976.685,4.222.984,44.261,649.227,133915714,M O J O m a n,22.976.685,non found,,
133598836,ᴮᴴgnufoo,24.488.443,5.636.726,368.090,2.003.474,133441654,ᴼᵖ Cori,22.967.164,4.579.767,16.259,1.095.158,133441654,ᴼᵖ Cori,22.967.164,4.215.910,208.223,258.414
133605833,ŁORD OF KÍNGS,25.366.515,1.087.038,13.241,452.710,134014465,乂 Jake 乂,22.795.307,2.301.425,54.715,489.153,134014465,乂 Jake 乂,22.795.307,952.682,326.051,220.682
134337996,Linh hi,25.290.814,697.390,1.906,268.463,133589788,Yait1,22.765.112,2.883.990,14.871,277.085,133589788,Yait1,22.765.112,non found,,
119462577,ANR TaxistEvgen,25.123.522,1.555.902,164.322,1.687.810,134359855,ᴮᴹYoryk85,22.773.512,2.491.604,2.023,357.201,134359855,ᴮᴹYoryk85,22.773.512,2.256.936,116.219,62.934
134360203,ᴮᶠKriger,25.045.122,2.876.449,237.057,309.181,133605833,ŁORD OF KÍNGS,22.661.847,1.072.164,13.241,452.710,133605833,ŁORD OF KÍNGS,22.661.847,14.874,0,0
133613853,Megamind2022,25.048.886,1.017.797,39.122,812.678,134381439,Viettel,22.580.943,136.364,0,104.864,134381439,Viettel,22.580.943,86.590,2.399,0
133859647,ᴮᴴLESTER亗,25.029.701,2.428.062,37.066,525.813,133745762,Dam Rude Farm1,22.546.166,5.972.910,487.801,1.251.428,133745762,Dam Rude Farm1,22.546.166,,,
133700345,ᴮᴴPhiwPhiw,24.968.249,4.546.932,19.733,232.740,134614201,MaBoy,22.534.856,1.543.199,7.959,392.485,134614201,MaBoy,22.534.856,,,
134430733,ᴮᶠKhoaiTây,24.822.901,1.435.192,59.415,620.337,134373304,MonkeeyDLuffy,22.495.142,2.632.992,6.283,495.364,134373304,MonkeeyDLuffy,22.495.142,,,
133814894,ᴮᴴRaiimana,24.750.089,2.672.162,17.924,187.228,133690313,ᴮᴴHEŁA,22.490.697,4.590.361,57.149,858.682,133690313,ᴮᴴHEŁA,22.490.697,,,
135126545,ᴮᶠDr Evil,24.671.786,178.037,53.537,27.087,134363950,ʷʷᶜReport 1,22.427.967,957.882,542,431.787,134363950,ʷʷᶜReport 1,22.427.967,,,
133441654,ᴼᵖ Cori,24.641.980,8.795.677,224.482,1.353.572,137412631,ᴮᴴ Reyznor,22.314.197,3.009.501,33.206,451.869,137412631,ᴮᴴ Reyznor,22.314.197,,,
134360984,thànhhh,24.472.889,5.438.894,303.601,749.548,134022474,Boss baby,22.056.452,1.998.259,13.430,657.154,134022474,Boss baby,22.056.452,,,
134212837,Réd Fox,24.361.855,2.818.041,57.583,551.549,134445676,ᴮᴾIrull,22.031.018,1.885.285,583,279.230,134445676,ᴮᴾIrull,22.031.018,,,
134643880,Whizz Di Dragon,24.343.785,531.720,76.107,375.168,134412920,ᴮᶠMichay,22.009.153,1.252.001,14.443,539.360,134412920,ᴮᶠMichay,22.009.153,,,
133979997,RUssian Bear,24.306.326,618.147,18.558,506.652,133894212,ᴮᴴthienngu,22.012.271,3.642.297,45.154,548.153,133894212,ᴮᴴthienngu,22.012.271,,,
134213634,Poyiu,24.259.634,2.138.336,87.467,652.651,133557969,LYS II,21.998.890,3.233.534,41.815,349.834,133557969,LYS II,21.998.890,,,
134264671,Cristony16,24.247.402,4.311.885,82.970,706.513,134177598,ᴮᴹ Sherry,21.842.941,4.192.466,9.374,334.070,134177598,ᴮᴹ Sherry,21.842.941,,,
134365777,BF KOSTA HELLAS,24.198.287,1.201.707,114.360,342.585,134598851,iAmZhao333,21.758.583,205.974,30.367,189.232,134598851,iAmZhao333,21.758.583,,,
133839108,亗METEOR亗SAM,24.017.369,15.991.889,664.182,1.179.394,133947927,Yvonne T2MZ,21.743.665,508.680,1.292,448.461,133947927,Yvonne T2MZ,21.743.665,,,
133966437,ᴮᴴ OVO,24.052.565,4.252.795,65.381,1.041.615,134395400,ᴮᴴ Kurama68,21.582.492,2.001.269,4.089,707.931,134395400,ᴮᴴ Kurama68,21.582.492,,,
133761765,ᴮᶠGökbök,24.051.332,895.720,135.493,179.572,134016063,ᴮᴹLucifer,21.576.575,5.769.724,10.068,861.449,134016063,ᴮᴹLucifer,21.576.575,,,
134046170,FR lolo,24.034.601,559.004,59.151,318.423,134403196,ᴮᴹMIRACULIX,21.488.883,209.091,5.647,44.660,134403196,ᴮᴹMIRACULIX,21.488.883,,,
